11:29:46:479 -> ����� Round:859
11:29:46:479 -> Serial, Testing, Round:860
11:29:46:895 -> Serial, Testing, Round:1030
11:29:46:898 -> Serial, Testing, Round:1031
11:29:46:901 -> Serial, Testing, Round:1032
11:29:46:901 -> Serial, Testing, Round:1033
11:29:46:904 -> Serial, Testing, Round:1034
11:29:46:907 -> Serial, Testing, Round:1035
11:29:46:909 -> Serial, Testing, Round:1036
11:29:46:912 -> Serial, Testing, Round:1037
11:29:46:915 -> Serial, Testing, Round:1038
11:29:46:918 -> Serial, Testing, Round:1039
11:29:46:921 -> Serial, Testing, Round:1040
11:29:46:923 -> Serial, Testing, Round:1041
11:29:46:926 -> Serial, Testing, Round:1042
11:29:46:929 -> Serial, Testing, Round:1043
11:29:46:929 -> Serial, Testing, Round:1044
11:29:46:932 -> Serial, Testing, Round:1045
11:29:46:934 -> Serial, Testing, Round:1046
11:29:46:937 -> Serial, Testing, Round:1047
11:29:46:940 -> Serial, Testing, Round:1048
11:29:46:943 -> Serial, Testing, Round:1049
11:29:46:945 -> Serial, Testing, Round:1050
11:29:46:948 -> Serial, Testing, Round:1051
11:29:46:951 -> Serial, Testing, Round:1052
11:29:46:954 -> Serial, Testing, Round:1053
11:29:46:954 -> Serial, Testing, Round:1054
11:29:46:957 -> Serial, Testing, Round:1055
11:29:46:960 -> Serial, Testing, Round:1056
11:29:46:962 -> Serial, Testing, Round:1057
11:29:46:965 -> Serial, Testing, Round:1058
11:29:46:968 -> Serial, Testing, Round:1059
11:29:46:970 -> Serial, Testing, Round:1060
11:29:46:973 -> Serial, Testing, Round:1061
11:29:46:976 -> Serial, Testing, Round:1062
11:29:46:979 -> Serial, Testing, Round:1063
11:29:46:982 -> Serial, Testing, Round:1064
11:29:46:982 -> Serial, Testing, Round:1065
11:29:46:984 -> Serial, Testing, Round:1066
11:29:46:987 -> Serial, Testing, Round:1067
11:29:46:990 -> Serial, Testing, Round:1068
11:29:46:993 -> Serial, Testing, Round:1069
11:29:46:995 -> Serial, Testing, Round:1070
11:29:46:998 -> Serial, Testing, Round:1071
11:29:47:001 -> Serial, Testing, Round:1072
11:29:47:004 -> Serial, Testing, Round:1073
11:29:47:007 -> Serial, Testing, Round:1074
11:29:47:009 -> Serial, Testing, Round:1075
11:29:47:009 -> Serial, Testing, Round:1076
11:29:47:012 -> Serial, Testing, Round:1077
11:29:47:015 -> Serial, Testing, Round:1078
11:29:47:018 -> Serial, Testing, Round:1079
11:29:47:021 -> Serial, Testing, Round:1080
11:29:47:023 -> Serial, Testing, Round:1081
11:29:47:026 -> Serial, Testing, Round:1082
11:29:47:029 -> Serial, Testing, Round:1083
11:29:47:031 -> Serial, Testing, Round:1084
11:29:47:034 -> Serial, Testing, Round:1085
11:29:47:034 -> Serial, Testing, Round:1086
11:29:47:037 -> Serial, Testing, Round:1087
11:29:47:040 -> Serial, Testing, Round:1088
11:29:47:043 -> Serial, Testing, Round:1089
11:29:47:045 -> Serial, Testing, Round:1090
11:29:47:048 -> Serial, Testing, Round:1091
11:29:47:051 -> Serial, Testing, Round:1092
11:29:47:054 -> Serial, Testing, Round:1093
11:29:47:057 -> Serial, Testing, Round:1094
11:29:47:059 -> Serial, Testing, Round:1095
11:29:47:062 -> Serial, Testing, Round:1096
11:29:47:062 -> Serial, Testing, Round:1097
11:29:47:065 -> Serial, Testing, Round:1098
11:29:47:068 -> Serial, Testing, Round:1099
11:29:47:071 -> Serial, Testing, Round:1100
11:29:47:073 -> Serial, Testing, Round:1101
11:29:47:076 -> Serial, Testing, Round:1102
11:29:47:079 -> Serial, Testing, Round:1103
11:29:47:081 -> Serial, Testing, Round:1104
11:29:47:084 -> Serial, Testing, Round:1105
11:29:47:087 -> Serial, Testing, Round:1106
11:29:47:090 -> Serial, Testing, Round:1107
11:29:47:090 -> Serial, Testing, Round:1108
11:29:47:093 -> Serial, Testing, Round:1109
11:29:47:095 -> Serial, Testing, Round:1110
11:29:47:098 -> Serial, Testing, Round:1111
11:29:47:101 -> Serial, Testing, Round:1112
11:29:47:104 -> Serial, Testing, Round:1113
11:29:47:108 -> Serial, Testing, Round:1114
11:29:47:113 -> Serial, Testing, Round:1115
11:29:47:113 -> Serial, Testing, Round:1116
11:29:47:115 -> Serial, Testing, Round:1117
11:29:47:115 -> Serial, Testing, Round:1118
11:29:47:119 -> Serial, Testing, Round:1119
11:29:47:121 -> Serial, Testing, Round:1120
11:29:47:125 -> Serial, Testing, Round:1121
11:29:47:126 -> Serial, Testing, Round:1122
11:29:47:129 -> Serial, Testing, Round:1123
11:29:47:132 -> Serial, Testing, Round:1124
11:29:47:134 -> Serial, Testing, Round:1125
11:29:47:137 -> Serial, Testing, Round:1126
11:29:47:140 -> Serial, Testing, Round:1127
11:29:47:143 -> Serial, Testing, Round:1128
11:29:47:143 -> Serial, Testing, Round:1129
11:29:47:146 -> Serial, Testing, Round:1130
11:29:47:148 -> Serial, Testing, Round:1131
11:29:47:151 -> Serial, Testing, Round:1132
11:29:47:154 -> Serial, Testing, Round:1133
11:29:47:156 -> Serial, Testing, Round:1134
11:29:47:160 -> Serial, Testing, Round:1135
11:29:47:162 -> Serial, Testing, Round:1136
11:29:47:165 -> Serial, Testing, Round:1137
11:29:47:168 -> Serial, Testing, Round:1138
11:29:47:171 -> Serial, Testing, Round:1139
11:29:47:171 -> Serial, Testing, Round:1140
11:29:47:173 -> Serial, Testing, Round:1141
11:29:47:176 -> Serial, Testing, Round:1142
11:29:47:179 -> Serial, Testing, Round:1143
11:29:47:181 -> Serial, Testing, Round:1144
11:29:47:184 -> Serial, Testing, Round:1145
11:29:47:187 -> Serial, Testing, Round:1146
11:29:47:190 -> Serial, Testing, Round:1147
11:29:47:193 -> Serial, Testing, Round:1148
11:29:47:195 -> Serial, Testing, Round:1149
11:29:47:195 -> Serial, Testing, Round:1150
11:29:47:198 -> Serial, Testing, Round:1151
11:29:47:201 -> Serial, Testing, Round:1152
11:29:47:204 -> Serial, Testing, Round:1153
11:29:47:206 -> Serial, Testing, Round:1154
11:29:47:210 -> Serial, Testing, Round:1155
11:29:47:212 -> Serial, Testing, Round:1156
11:29:47:215 -> Serial, Testing, Round:1157
11:29:47:218 -> Serial, Testing, Round:1158
11:29:47:221 -> Serial, Testing, Round:1159
11:29:47:223 -> Serial, Testing, Round:1160
11:29:47:223 -> Serial, Testing, Round:1161
11:29:47:226 -> Serial, Testing, Round:1162
11:29:47:229 -> Serial, Testing, Round:1163
11:29:47:232 -> Serial, Testing, Round:1164
11:29:47:234 -> Serial, Testing, Round:1165
11:29:47:237 -> Serial, Testing, Round:1166
11:29:47:240 -> Serial, Testing, Round:1167
11:29:47:243 -> Serial, Testing, Round:1168
11:29:47:245 -> Serial, Testing, Round:1169
11:29:47:248 -> Serial, Testing, Round:1170
11:29:47:251 -> Serial, Testing, Round:1171
11:29:47:251 -> Serial, Testing, Round:1172
11:29:47:254 -> Serial, Testing, Round:1173
11:29:47:256 -> Serial, Testing, Round:1174
11:29:47:260 -> Serial, Testing, Round:1175
11:29:47:262 -> Serial, Testing, Round:1176
11:29:47:265 -> Serial, Testing, Round:1177
11:29:47:268 -> Serial, Testing, Round:1178
11:29:47:271 -> Serial, Testing, Round:1179
11:29:47:273 -> Serial, Testing, Round:1180
11:29:47:276 -> Serial, Testing, Round:1181
11:29:47:276 -> Serial, Testing, Round:1182
11:29:47:279 -> Serial, Testing, Round:1183
11:29:47:281 -> Serial, Testing, Round:1184
11:29:47:284 -> Serial, Testing, Round:1185
11:29:47:287 -> Serial, Testing, Round:1186
11:29:47:290 -> Serial, Testing, Round:1187
11:29:47:293 -> Serial, Testing, Round:1188
11:29:47:295 -> Serial, Testing, Round:1189
11:29:47:298 -> Serial, Testing, Round:1190
11:29:47:301 -> Serial, Testing, Round:1191
11:29:47:304 -> Serial, Testing, Round:1192
11:29:47:304 -> Serial, Testing, Round:1193
11:29:47:306 -> Serial, Testing, Round:1194
11:29:47:309 -> Serial, Testing, Round:1195
11:29:47:312 -> Serial, Testing, Round:1196
11:29:47:315 -> Serial, Testing, Round:1197
11:29:47:318 -> Serial, Testing, Round:1198
11:29:47:321 -> Serial, Testing, Round:1199
11:29:47:323 -> Serial, Testing, Round:1200
11:29:47:326 -> Serial, Testing, Round:1201
11:29:47:329 -> Serial, Testing, Round:1202
11:29:47:331 -> Serial, Testing, Round:1203
11:29:47:331 -> Serial, Testing, Round:1204
11:29:47:334 -> Serial, Testing, Round:1205
11:29:47:337 -> Serial, Testing, Round:1206
11:29:47:340 -> Serial, Testing, Round:1207
11:29:47:343 -> Serial, Testing, Round:1208
11:29:47:345 -> Serial, Testing, Round:1209
11:29:47:348 -> Serial, Testing, Round:1210
11:29:47:351 -> Serial, Testing, Round:1211
11:29:47:354 -> Serial, Testing, Round:1212
11:29:47:356 -> Serial, Testing, Round:1213
11:29:47:356 -> Serial, Testing, Round:1214
11:29:47:359 -> Serial, Testing, Round:1215
11:29:47:362 -> Serial, Testing, Round:1216
11:29:47:365 -> Serial, Testing, Round:1217
11:29:47:368 -> Serial, Testing, Round:1218
11:29:47:371 -> Serial, Testing, Round:1219
11:29:47:373 -> Serial, Testing, Round:1220
11:29:47:376 -> Serial, Testing, Round:1221
11:29:47:379 -> Serial, Testing, Round:1222
11:29:47:382 -> Serial, Testing, Round:1223
11:29:47:384 -> Serial, Testing, Round:1224
11:29:47:384 -> Serial, Testing, Round:1225
11:29:47:387 -> Serial, Testing, Round:1226
11:29:47:390 -> Serial, Testing, Round:1227
11:29:47:393 -> Serial, Testing, Round:1228
11:29:47:395 -> Serial, Testing, Round:1229
11:29:47:398 -> Serial, Testing, Round:1230
11:29:47:401 -> Serial, Testing, Round:1231
11:29:47:404 -> Serial, Testing, Round:1232
11:29:47:407 -> Serial, Testing, Round:1233
11:29:47:409 -> Serial, Testing, Round:1234
11:29:47:413 -> Serial, Testing, Round:1235
11:29:47:413 -> Serial, Testing, Round:1236
11:29:47:415 -> Serial, Testing, Round:1237
11:29:47:418 -> Serial, Testing, Round:1238
11:29:47:421 -> Serial, Testing, Round:1239
11:29:47:423 -> Serial, Testing, Round:1240
11:29:47:426 -> Serial, Testing, Round:1241
11:29:47:429 -> Serial, Testing, Round:1242
11:29:47:431 -> Serial, Testing, Round:1243
11:29:47:434 -> Serial, Testing, Round:1244
11:29:47:437 -> Serial, Testing, Round:1245
11:29:47:437 -> Serial, Testing, Round:1246
11:29:47:440 -> Serial, Testing, Round:1247
11:29:47:443 -> Serial, Testing, Round:1248
11:29:47:445 -> Serial, Testing, Round:1249
11:29:47:448 -> Serial, Testing, Round:1250
11:29:47:451 -> Serial, Testing, Round:1251
11:29:47:454 -> Serial, Testing, Round:1252
11:29:47:457 -> Serial, Testing, Round:1253
11:29:47:459 -> Serial, Testing, Round:1254
11:29:47:462 -> Serial, Testing, Round:1255
11:29:47:465 -> Serial, Testing, Round:1256
11:29:47:465 -> Serial, Testing, Round:1257
11:29:47:468 -> Serial, Testing, Round:1258
11:29:47:471 -> Serial, Testing, Round:1259
11:29:47:473 -> Serial, Testing, Round:1260
11:29:47:476 -> Serial, Testing, Round:1261
11:29:47:479 -> Serial, Testing, Round:1262
11:29:47:481 -> Serial, Testing, Round:1263
11:29:47:484 -> Serial, Testing, Round:1264
11:29:47:487 -> Serial, Testing, Round:1265
11:29:47:490 -> Serial, Testing, Round:1266
11:29:47:493 -> Serial, Testing, Round:1267
11:29:47:493 -> Serial, Testing, Round:1268
11:29:47:495 -> Serial, Testing, Round:1269
11:29:47:498 -> Serial, Testing, Round:1270
11:29:47:501 -> Serial, Testing, Round:1271
11:29:47:504 -> Serial, Testing, Round:1272
11:29:47:506 -> Serial, Testing, Round:1273
11:29:47:510 -> Serial, Testing, Round:1274
11:29:47:512 -> Serial, Testing, Round:1275
11:29:47:515 -> Serial, Testing, Round:1276
11:29:47:518 -> Serial, Testing, Round:1277
11:29:47:518 -> Serial, Testing, Round:1278
11:29:47:521 -> Serial, Testing, Round:1279
11:29:47:523 -> Serial, Testing, Round:1280
11:29:47:526 -> Serial, Testing, Round:1281
11:29:47:529 -> Serial, Testing, Round:1282
11:29:47:531 -> Serial, Testing, Round:1283
11:29:47:534 -> Serial, Testing, Round:1284
11:29:47:537 -> Serial, Testing, Round:1285
11:29:47:540 -> Serial, Testing, Round:1286
11:29:47:543 -> Serial, Testing, Round:1287
11:29:47:545 -> Serial, Testing, Round:1288
11:29:47:545 -> Serial, Testing, Round:1289
11:29:47:548 -> Serial, Testing, Round:1290
11:29:47:551 -> Serial, Testing, Round:1291
11:29:47:554 -> Serial, Testing, Round:1292
11:29:47:556 -> Serial, Testing, Round:1293
11:29:47:559 -> Serial, Testing, Round:1294
11:29:47:562 -> Serial, Testing, Round:1295
11:29:47:565 -> Serial, Testing, Round:1296
11:29:47:568 -> Serial, Testing, Round:1297
11:29:47:571 -> Serial, Testing, Round:1298
11:29:47:573 -> Serial, Testing, Round:1299
11:29:47:573 -> Serial, Testing, Round:1300
11:29:47:576 -> Serial, Testing, Round:1301
11:29:47:579 -> Serial, Testing, Round:1302
11:29:47:581 -> Serial, Testing, Round:1303
11:29:47:584 -> Serial, Testing, Round:1304
11:29:47:587 -> Serial, Testing, Round:1305
11:29:47:590 -> Serial, Testing, Round:1306
11:29:47:593 -> Serial, Testing, Round:1307
11:29:47:595 -> Serial, Testing, Round:1308
11:29:47:598 -> Serial, Testing, Round:1309
11:29:47:598 -> Serial, Testing, Round:1310
11:29:47:601 -> Seri Testing, Round:1312
11:29:47:607 -> Serial, Teal, Testing, Round:1311
11:29:47:604 -> Serial,sting, Round:1313
11:29:47:609 -> Serial, Testing, Round:1314
11:29:47:612 -> Serial, Testing, Round:1315
11:29:47:615 -> Serial, Testing, Round:1316
11:29:47:618 -> Serial, Testing, Round:1317
11:29:47:621 -> Serial, Testing, Round:1318
11:29:47:623 -> Serial, Testing, Round:1319
11:29:47:626 -> Serial, Testing, Round:1320
11:29:47:626 -> Serial, Testing, Round:1321
11:29:47:629 -> Serial, Testing, Round:1322
11:29:47:632 -> Serial, Testing, Round:1323
11:29:47:634 -> Serial, Testing, Round:1324
11:29:47:637 -> Serial, Testing, Round:1325
11:29:47:640 -> Serial, Testing, Round:1326
11:29:47:643 -> Serial, Testing, Round:1327
11:29:47:647 -> Serial, Testing, Round:1328
11:29:47:649 -> Serial, Testing, Round:1329
11:29:47:652 -> Serial, Testing, Round:1330
11:29:47:655 -> Serial, Testing, Round:1331
11:29:47:655 -> Serial, Testing, Round:1332
11:29:47:657 -> Serial, Testing, Round:1333
11:29:47:661 -> Serial, Testing, Round:1334
11:29:47:664 -> Serial, Testing, Round:1335
11:29:47:666 -> Serial, Testing, Round:1336
11:29:47:671 -> Serial, Testing, Round:1337
11:29:47:671 -> Serial, Testing, Round:1338
11:29:47:673 -> Serial, Testing, Round:1339
11:29:47:676 -> Serial, Testing, Round:1340
11:29:47:679 -> Serial, Testing, Round:1341
11:29:47:679 -> Serial, Testing, Round:1342
11:29:47:682 -> Serial, Testing, Round:1343
11:29:47:684 -> Serial, Testing, Round:1344
11:29:47:687 -> Serial, Testing, Round:1345
11:29:47:690 -> Serial, Testing, Round:1346
11:29:47:693 -> Serial, Testing, Round:1347
11:29:47:696 -> Serial, Testing, Round:1348
11:29:47:698 -> Serial, Testing, Round:1349
11:29:47:701 -> Serial, Testing, Round:1350
11:29:47:704 -> Serial, Testing, Round:1351
11:29:47:707 -> Serial, Testing, Round:1352
11:29:47:707 -> Serial, Testing, Round:1353
11:29:47:709 -> Serial, Testing, Round:1354
11:29:47:713 -> Serial, Testing, Round:1355
11:29:47:715 -> Serial, Testing, Round:1356
11:29:47:718 -> Serial, Testing, Round:1357
11:29:47:721 -> Serial, Testing, Round:1358
11:29:47:723 -> Serial, Testing, Round:1359
11:29:47:726 -> Serial, Testing, Round:1360
11:29:47:729 -> Serial, Testing, Round:1361
11:29:47:731 -> Serial, Testing, Round:1362
11:29:47:734 -> Serial, Testing, Round:1363
11:29:47:734 -> Serial, Testing, Round:1364
11:29:47:737 -> Serial, Testing, Round:1365
11:29:47:740 -> Serial, Testing, Round:1366
11:29:47:743 -> Serial, Testing, Round:1367
11:29:47:745 -> Serial, Testing, Round:1368
11:29:47:748 -> Serial, Testing, Round:1369
11:29:47:751 -> Serial, Testing, Round:1370
11:29:47:754 -> Serial, Testing, Round:1371
11:29:47:756 -> Serial, Testing, Round:1372
11:29:47:760 -> Serial, Testing, Round:1373
11:29:47:760 -> Serial, Testing, Round:1374
11:29:47:762 -> Serial, Testing, Round:1375
11:29:47:765 -> Serial, Testing, Round:1376
11:29:47:768 -> Serial, Testing, Round:1377
11:29:47:770 -> Serial, Testing, Round:1378
11:29:47:773 -> Serial, Testing, Round:1379
11:29:47:776 -> Serial, Testing, Round:1380
11:29:47:779 -> Serial, Testing, Round:1381
11:29:47:782 -> Serial, Testing, Round:1382
11:29:47:784 -> Serial, Testing, Round:1383
11:29:47:787 -> Serial, Testing, Round:1384
11:29:47:787 -> Serial, Testing, Round:1385
11:29:47:790 -> Serial, Testing, Round:1386
11:29:47:793 -> Serial, Testing, Round:1387
11:29:47:795 -> Serial, Testing, Round:1388
11:29:47:798 -> Serial, Testing, Round:1389
11:29:47:801 -> Serial, Testing, Round:1390
11:29:47:804 -> Serial, Testing, Round:1391
11:29:47:807 -> Serial, Testing, Round:1392
11:29:47:809 -> Serial, Testing, Round:1393
11:29:47:812 -> Serial, Testing, Round:1394
11:29:47:815 -> Serial, Testing, Round:1395
11:29:47:815 -> Serial, Testing, Round:1396
11:29:47:818 -> Serial, Testing, Round:1397
11:29:47:820 -> Serial, Testing, Round:1398
11:29:47:823 -> Serial, Testing, Round:1399
11:29:47:826 -> Serial, Testing, Round:1400
11:29:47:829 -> Serial, Testing, Round:1401
11:29:47:831 -> Serial, Testing, Round:1402
11:29:47:834 -> Serial, Testing, Round:1403
11:29:47:837 -> Serial, Testing, Round:1404
11:29:47:840 -> Serial, Testing, Round:1405
11:29:47:840 -> Serial, Testing, Round:1406
11:29:47:843 -> Serial, Testing, Round:1407
11:29:47:845 -> Serial, Testing, Round:1408
11:29:47:848 -> Serial, Testing, Round:1409
11:29:47:851 -> Serial, Testing, Round:1410
11:29:47:854 -> Serial, Testing, Round:1411
11:29:47:857 -> Serial, Testing, Round:1412
11:29:47:859 -> Serial, Testing, Round:1413
11:29:47:862 -> Serial, Testing, Round:1414
11:29:47:865 -> Serial, Testing, Round:1415
11:29:47:868 -> Serial, Testing, Round:1416
11:29:47:868 -> Serial, Testing, Round:1417
11:29:47:870 -> Serial, Testing, Round:1418
11:29:47:873 -> Serial, Testing, Round:1419
11:29:47:876 -> Serial, Testing, Round:1420
11:29:47:879 -> Serial, Testing, Round:1421
11:29:47:881 -> Serial, Testing, Round:1422
11:29:47:884 -> Serial, Testing, Round:1423
11:29:47:887 -> Serial, Testing, Round:1424
11:29:47:890 -> Serial, Testing, Round:1425
11:29:47:893 -> Serial, Testing, Round:1426
11:29:47:895 -> Serial, Testing, Round:1427
11:29:47:895 -> Serial, Testing, Round:1428
11:29:47:898 -> Serial, Testing, Round:1429
11:29:47:901 -> Serial, Testing, Round:1430
11:29:47:904 -> Serial, Testing, Round:1431
11:29:47:906 -> Serial, Testing, Round:1432
11:29:47:909 -> Serial, Testing, Round:1433
11:29:47:912 -> Serial, Testing, Round:1434
11:29:47:915 -> Serial, Testing, Round:1435
11:29:47:918 -> Serial, Testing, Round:1436
11:29:47:921 -> Serial, Testing, Round:1437
11:29:47:921 -> Serial, Testing, Round:1438
11:29:47:923 -> Serial, Testing, Round:1439
11:29:47:926 -> Serial, Testing, Round:1440
11:29:47:929 -> Serial, Testing, Round:1441
11:29:47:931 -> Serial, Testing, Round:1442
11:29:47:934 -> Serial, Testing, Round:1443
11:29:47:937 -> Serial, Testing, Round:1444
11:29:47:940 -> Serial, Testing, Round:1445
