11:29:13:841 -> �ѥ��� Round:0
11:29:13:841 -> Serial, Testing, Round:0
11:29:14:046 -> Serial, Testing, Round:0
11:29:14:049 -> Serial, Testing, Round:0
11:29:14:052 -> Serial, Testing, Round:0
11:29:14:052 -> Serial, Testing, Round:0
11:29:14:055 -> Serial, Testing, Round:0
11:29:14:057 -> Serial, Testing, Round:0
11:29:14:060 -> Serial, Testing, Round:0
11:29:14:063 -> Serial, Testing, Round:0
11:29:14:063 -> Serial, Testing, Round:0
11:29:14:065 -> Serial, Testing, Round:0
11:29:14:068 -> Serial, Testing, Round:0
11:29:14:071 -> Serial, Testing, Round:0
11:29:14:074 -> Serial, Testing, Round:0
11:29:14:077 -> Serial, Testing, Round:0
11:29:14:077 -> Serial, Testing, Round:0
11:29:14:079 -> Serial, Testing, Round:0
11:29:14:082 -> Serial, Testing, Round:0
11:29:14:085 -> Serial, Testing, Round:0
11:29:14:088 -> Serial, Testing, Round:0
11:29:14:088 -> Serial, Testing, Round:0
11:29:14:090 -> Serial, Testing, Round:0
11:29:14:093 -> Serial, Testing, Round:0
11:29:14:097 -> Serial, Testing, Round:0
11:29:14:099 -> Serial, Testing, Round:0
11:29:14:099 -> Serial, Testing, Round:0
11:29:14:102 -> Serial, Testing, Round:0
11:29:14:104 -> Serial, Testing, Round:0
11:29:14:107 -> Serial, Testing, Round:0
11:29:14:110 -> Serial, Testing, Round:0
11:29:14:113 -> Serial, Testing, Round:0
11:29:14:113 -> Serial, Testing, Round:0
11:29:14:115 -> Serial, Testing, Round:0
11:29:14:118 -> Serial, Testing, Round:0
11:29:14:121 -> Serial, Testing, Round:0
11:29:14:124 -> Serial, Testing, Round:0
11:29:14:124 -> Serial, Testing, Round:0
11:29:14:127 -> Serial, Testing, Round:0
11:29:14:130 -> Serial, Testing, Round:0
11:29:14:132 -> Serial, Testing, Round:0
11:29:14:135 -> Serial, Testing, Round:0
11:29:14:135 -> Serial, Testing, Round:0
11:29:14:138 -> Serial, Testing, Round:0
11:29:14:140 -> Serial, Testing, Round:0
11:29:14:143 -> Serial, Testing, Round:0
11:29:14:147 -> Serial, Testing, Round:0
11:29:14:149 -> Serial, Testing, Round:0
11:29:14:149 -> Serial, Testing, Round:0
11:29:14:152 -> Serial, Testing, Round:0
11:29:14:154 -> Serial, Testing, Round:0
11:29:14:157 -> Serial, Testing, Round:0
11:29:14:160 -> Serial, Testing, Round:0
11:29:14:160 -> Serial, Testing, Round:0
11:29:14:163 -> Serial, Testing, Round:0
11:29:14:166 -> Serial, Testing, Round:0
11:29:14:170 -> Serial, Testing, Round:0
11:29:14:171 -> Serial, Testing, Round:0
11:29:14:171 -> Serial, Testing, Round:0
11:29:14:174 -> Serial, Testing, Round:0
11:29:14:178 -> Serial, Testing, Round:0
11:29:14:180 -> Serial, Testing, Round:0
11:29:14:183 -> Serial, Testing, Round:0
11:29:14:186 -> Serial, Testing, Round:0
11:29:14:186 -> Serial, Testing, Round:0
11:29:14:188 -> Serial, Testing, Round:0
11:29:14:191 -> Serial, Testing, Round:0
11:29:14:194 -> Serial, Testing, Round:0
11:29:14:199 -> Serial, Testing, Round:0
11:29:14:199 -> Serial, Testing, Round:0
11:29:14:199 -> Serial, Testing, Round:0
11:29:14:202 -> Serial, Testing, Round:0
11:29:14:204 -> Serial, Testing, Round:0
11:29:14:207 -> Serial, Testing, Round:0
11:29:14:207 -> Serial, Testing, Round:0
11:29:14:210 -> Serial, Testing, Round:0
11:29:14:213 -> Serial, Testing, Round:0
11:29:14:215 -> Serial, Testing, Round:0
11:29:14:218 -> Serial, Testing, Round:0
11:29:14:221 -> Serial, Testing, Round:0
11:29:14:221 -> Serial, Testing, Round:0
11:29:14:224 -> Serial, Testing, Round:0
11:29:14:227 -> Serial, Testing, Round:0
11:29:14:229 -> Serial, Testing, Round:0
11:29:14:232 -> Serial, Testing, Round:0
11:29:14:232 -> Serial, Testing, Round:0
11:29:14:235 -> Serial, Testing, Round:0
11:29:14:238 -> Serial, Testing, Round:0
11:29:14:242 -> Serial, Testing, Round:0
11:29:14:244 -> Serial, Testing, Round:0
11:29:14:244 -> Serial, Testing, Round:0
11:29:14:246 -> Serial, Testing, Round:0
11:29:14:249 -> Serial, Testing, Round:0
11:29:14:252 -> Serial, Testing, Round:0
11:29:14:254 -> Serial, Testing, Round:0
11:29:14:257 -> Serial, Testing, Round:0
11:29:14:257 -> Serial, Testing, Round:0
11:29:14:260 -> Serial, Testing, Round:0
11:29:14:263 -> Serial, Testing, Round:0
11:29:14:266 -> Serial, Testing, Round:0
11:29:14:268 -> Serial, Testing, Round:0
11:29:14:268 -> Serial, Testing, Round:0
11:29:14:271 -> Serial, Testing, Round:0
11:29:14:274 -> Serial, Testing, Round:0
11:29:14:277 -> Serial, Testing, Round:0
11:29:14:279 -> Serial, Testing, Round:0
11:29:14:279 -> Serial, Testing, Round:0
11:29:14:282 -> Serial, Testing, Round:0
11:29:14:285 -> Serial, Testing, Round:0
11:29:14:288 -> Serial, Testing, Round:0
11:29:14:290 -> Serial, Testing, Round:0
11:29:14:294 -> Serial, Testing, Round:0
11:29:14:294 -> Serial, Testing, Round:0
11:29:14:296 -> Serial, Testing, Round:0
11:29:14:299 -> Serial, Testing, Round:0
11:29:14:302 -> Serial, Testing, Round:0
11:29:14:304 -> Serial, Testing, Round:0
11:29:14:304 -> Serial, Testing, Round:0
11:29:14:307 -> Serial, Testing, Round:0
11:29:14:310 -> Serial, Testing, Round:0
11:29:14:313 -> Serial, Testing, Round:0
11:29:14:315 -> Serial, Testing, Round:0
11:29:14:315 -> Serial, Testing, Round:0
11:29:14:318 -> Serial, Testing, Round:0
11:29:14:321 -> Serial, Testing, Round:0
11:29:14:324 -> Serial, Testing, Round:0
11:29:14:327 -> Serial, Testing, Round:0
11:29:14:329 -> Serial, Testing, Round:0
11:29:14:329 -> Serial, Testing, Round:0
11:29:14:332 -> Serial, Testing, Round:0
11:29:14:335 -> Serial, Testing, Round:0
11:29:14:338 -> Serial, Testing, Round:0
11:29:14:341 -> Serial, Testing, Round:0
11:29:14:341 -> Serial, Testing, Round:0
11:29:14:343 -> Serial, Testing, Round:0
11:29:14:347 -> Serial, Testing, Round:0
11:29:14:349 -> Serial, Testing, Round:0
11:29:14:352 -> Serial, Testing, Round:0
11:29:14:352 -> Serial, Testing, Round:0
11:29:14:354 -> Serial, Testing, Round:0
11:29:14:357 -> Serial, Testing, Round:0
11:29:14:360 -> Serial, Testing, Round:0
11:29:14:363 -> Serial, Testing, Round:0
11:29:14:365 -> Serial, Testing, Round:0
11:29:14:365 -> Serial, Testing, Round:0
11:29:14:368 -> Serial, Testing, Round:0
11:29:14:371 -> Serial, Testing, Round:0
11:29:14:374 -> Serial, Testing, Round:0
11:29:14:377 -> Serial, Testing, Round:0
11:29:14:377 -> Serial, Testing, Round:0
11:29:14:379 -> Serial, Testing, Round:0
11:29:14:382 -> Serial, Testing, Round:0
11:29:14:385 -> Serial, Testing, Round:0
11:29:14:388 -> Serial, Testing, Round:0
11:29:14:388 -> Serial, Testing, Round:0
11:29:14:391 -> Serial, Testing, Round:0
11:29:14:393 -> Serial, Testing, Round:0
11:29:14:397 -> Serial, Testing, Round:0
11:29:14:399 -> Serial, Testing, Round:0
11:29:14:402 -> Serial, Testing, Round:0
11:29:14:402 -> Serial, Testing, Round:0
11:29:14:404 -> Serial, Testing, Round:0
11:29:14:407 -> Serial, Testing, Round:0
11:29:14:410 -> Serial, Testing, Round:0
11:29:14:413 -> Serial, Testing, Round:0
11:29:14:413 -> Serial, Testing, Round:0
11:29:14:415 -> Serial, Testing, Round:0
11:29:14:418 -> Serial, Testing, Round:0
11:29:14:421 -> Serial, Testing, Round:0
11:29:14:424 -> Serial, Testing, Round:0
11:29:14:424 -> Serial, Testing, Round:0
11:29:14:427 -> Serial, Testing, Round:0
11:29:14:429 -> Serial, Testing, Round:0
11:29:14:432 -> Serial, Testing, Round:0
11:29:14:435 -> Serial, Testing, Round:0
11:29:14:438 -> Serial, Testing, Round:0
11:29:14:438 -> Serial, Testing, Round:0
11:29:14:441 -> Serial, Testing, Round:0
11:29:14:443 -> Serial, Testing, Round:0
11:29:14:446 -> Serial, Testing, Round:0
11:29:14:449 -> Serial, Testing, Round:0
11:29:14:449 -> Serial, Testing, Round:0
11:29:14:452 -> Serial, Testing, Round:0
11:29:14:454 -> Serial, Testing, Round:0
11:29:14:457 -> Serial, Testing, Round:0
11:29:14:460 -> Serial, Testing, Round:0
11:29:14:460 -> Serial, Testing, Round:0
11:29:14:463 -> Serial, Testing, Round:0
11:29:14:466 -> Serial, Testing, Round:0
11:29:14:468 -> Serial, Testing, Round:0
11:29:14:471 -> Serial, Testing, Round:0
11:29:14:474 -> Serial, Testing, Round:0
11:29:14:474 -> Serial, Testing, Round:0
11:29:14:477 -> Serial, Testing, Round:0
11:29:14:479 -> Serial, Testing, Round:0
11:29:14:482 -> Serial, Testing, Round:0
11:29:14:485 -> Serial, Testing, Round:0
11:29:14:485 -> Serial, Testing, Round:0
11:29:14:488 -> Serial, Testing, Round:0
11:29:14:491 -> Serial, Testing, Round:0
11:29:14:493 -> Serial, Testing, Round:0
11:29:14:496 -> Serial, Testing, Round:0
11:29:14:496 -> Serial, Testing, Round:0
11:29:14:499 -> Serial, Testing, Round:0
11:29:14:502 -> Serial, Testing, Round:0
11:29:14:504 -> Serial, Testing, Round:0
11:29:14:507 -> Serial, Testing, Round:0
11:29:14:510 -> Serial, Testing, Round:0
11:29:14:510 -> Serial, Testing, Round:0
11:29:14:513 -> Serial, Testing, Round:0
11:29:14:516 -> Serial, Testing, Round:0
11:29:14:518 -> Serial, Testing, Round:0
11:29:14:521 -> Serial, Testing, Round:0
11:29:14:521 -> Serial, Testing, Round:0
11:29:14:524 -> Serial, Testing, Round:0
11:29:14:527 -> Serial, Testing, Round:0
11:29:14:529 -> Serial, Testing, Round:0
11:29:14:532 -> Serial, Testing, Round:0
11:29:14:532 -> Serial, Testing, Round:0
11:29:14:535 -> Serial, Testing, Round:0
11:29:14:538 -> Serial, Testing, Round:0
11:29:14:541 -> Serial, Testing, Round:0
11:29:14:543 -> Serial, Testing, Round:0
11:29:14:546 -> Serial, Testing, Round:0
11:29:14:546 -> Serial, Testing, Round:0
11:29:14:549 -> Serial, Testing, Round:0
11:29:14:552 -> Serial, Testing, Round:0
11:29:14:554 -> Serial, Testing, Round:0
11:29:14:557 -> Serial, Testing, Round:0
11:29:14:557 -> Serial, Testing, Round:0
11:29:14:560 -> Serial, Testing, Round:0
11:29:14:563 -> Serial, Testing, Round:0
11:29:14:566 -> Serial, Testing, Round:0
11:29:14:568 -> Serial, Testing, Round:0
11:29:14:568 -> Serial, Testing, Round:0
11:29:14:571 -> Serial, Testing, Round:0
11:29:14:574 -> Serial, Testing, Round:0
11:29:14:577 -> Serial, Testing, Round:0
11:29:14:579 -> Serial, Testing, Round:0
11:29:14:582 -> Serial, Testing, Round:0
11:29:14:582 -> Serial, Testing, Round:0
11:29:14:585 -> Serial, Testing, Round:0
11:29:14:588 -> Serial, Testing, Round:0
11:29:14:590 -> Serial, Testing, Round:0
11:29:14:593 -> Serial, Testing, Round:0
11:29:14:593 -> Serial, Testing, Round:0
11:29:14:596 -> Serial, Testing, Round:0
11:29:14:600 -> Serial, Testing, Round:0
11:29:14:602 -> Serial, Testing, Round:0
11:29:14:604 -> Serial, Testing, Round:0
11:29:14:604 -> Serial, Testing, Round:0
11:29:14:607 -> Serial, Testing, Round:0
11:29:14:610 -> Serial, Testing, Round:0
11:29:14:613 -> Serial, Testing, Round:0
11:29:14:615 -> Serial, Testing, Round:0
11:29:14:618 -> Serial, Testing, Round:0
11:29:14:618 -> Serial, Testing, Round:0
11:29:14:621 -> Serial, Testing, Round:0
11:29:14:624 -> Serial, Testing, Round:0
11:29:14:627 -> Serial, Testing, Round:0
11:29:14:629 -> Serial, Testing, Round:0
11:29:14:629 -> Serial, Testing, Round:0
11:29:14:632 -> Serial, Testing, Round:0
11:29:14:635 -> Serial, Testing, Round:0
11:29:14:638 -> Serial, Testing, Round:0
11:29:14:640 -> Serial, Testing, Round:0
11:29:14:640 -> Serial, Testing, Round:0
11:29:14:644 -> Serial, Testing, Round:0
11:29:14:646 -> Serial, Testing, Round:0
11:29:14:649 -> Serial, Testing, Round:0
11:29:14:652 -> Serial, Testing, Round:0
11:29:14:654 -> Serial, Testing, Round:0
11:29:14:654 -> Serial, Testing, Round:0
11:29:14:657 -> Serial, Testing, Round:0
11:29:14:660 -> Serial, Testing, Round:0
11:29:14:663 -> Serial, Testing, Round:0
11:29:14:665 -> Serial, Testing, Round:0
11:29:14:665 -> Serial, Testing, Round:0
11:29:14:668 -> Serial, Testing, Round:0
11:29:14:671 -> Serial, Testing, Round:0
11:29:14:674 -> Serial, Testing, Round:0
11:29:14:677 -> Serial, Testing, Round:0
11:29:14:677 -> Serial, Testing, Round:0
11:29:14:679 -> Serial, Testing, Round:0
11:29:14:682 -> Serial, Testing, Round:0
11:29:14:685 -> Serial, Testing, Round:0
11:29:14:688 -> Serial, Testing, Round:0
11:29:14:690 -> Serial, Testing, Round:0
11:29:14:690 -> Serial, Testing, Round:0
11:29:14:693 -> Serial, Testing, Round:0
11:29:14:696 -> Serial, Testing, Round:0
11:29:14:699 -> Serial, Testing, Round:0
11:29:14:702 -> Serial, Testing, Round:0
11:29:14:702 -> Serial, Testing, Round:0
11:29:14:704 -> Serial, Testing, Round:0
11:29:14:707 -> Serial, Testing, Round:0
11:29:14:710 -> Serial, Testing, Round:0
11:29:14:714 -> Serial, Testing, Round:0
11:29:14:714 -> Serial, Testing, Round:0
11:29:14:716 -> Serial, Testing, Round:0
11:29:14:719 -> Serial, Testing, Round:0
11:29:14:721 -> Serial, Testing, Round:0
11:29:14:726 -> Serial, Testing, Round:0
11:29:14:728 -> Serial, Testing, Round:0
11:29:14:728 -> Serial, Testing, Round:0
11:29:14:730 -> Serial, Testing, Round:0
11:29:14:733 -> Serial, Testing, Round:0
11:29:14:736 -> Serial, Testing, Round:0
11:29:14:738 -> Serial, Testing, Round:0
11:29:14:738 -> Serial, Testing, Round:0
11:29:14:741 -> Serial, Testing, Round:0
11:29:14:743 -> Serial, Testing, Round:0
11:29:14:746 -> Serial, Testing, Round:0
11:29:14:749 -> Serial, Testing, Round:0
11:29:14:749 -> Serial, Testing, Round:0
11:29:14:752 -> Serial, Testing, Round:0
11:29:14:754 -> Serial, Testing, Round:0
11:29:14:757 -> Serial, Testing, Round:0
11:29:14:760 -> Serial, Testing, Round:0
11:29:14:763 -> Serial, Testing, Round:0
11:29:14:763 -> Serial, Testing, Round:0
11:29:14:766 -> Serial, Testing, Round:0
11:29:14:768 -> Serial, Testing, Round:0
11:29:14:771 -> Serial, Testing, Round:0
11:29:14:774 -> Serial, Testing, Round:0
11:29:14:774 -> Serial, Testing, Round:0
11:29:14:777 -> Serial, Testing, Round:0
11:29:14:779 -> Serial, Testing, Round:0
11:29:14:782 -> Serial, Testing, Round:0
11:29:14:785 -> Serial, Testing, Round:0
11:29:14:785 -> Serial, Testing, Round:0
11:29:14:788 -> Serial, Testing, Round:0
11:29:14:791 -> Serial, Testing, Round:0
11:29:14:793 -> Serial, Testing, Round:0
11:29:14:796 -> Serial, Testing, Round:0
11:29:14:799 -> Serial, Testing, Round:0
11:29:14:799 -> Serial, Testing, Round:0
11:29:14:802 -> Serial, Testing, Round:0
11:29:14:804 -> Serial, Testing, Round:0
11:29:14:807 -> Serial, Testing, Round:0
11:29:14:810 -> Serial, Testing, Round:0
11:29:14:810 -> Serial, Testing, Round:0
11:29:14:813 -> Serial, Testing, Round:0
11:29:14:816 -> Serial, Testing, Round:0
11:29:14:818 -> Serial, Testing, Round:0
11:29:14:821 -> Serial, Testing, Round:0
11:29:14:821 -> Serial, Testing, Round:0
11:29:14:824 -> Serial, Testing, Round:0
11:29:14:827 -> Serial, Testing, Round:0
11:29:14:829 -> Serial, Testing, Round:0
11:29:14:832 -> Serial, Testing, Round:0
11:29:14:835 -> Serial, Testing, Round:0
11:29:14:835 -> Serial, Testing, Round:0
11:29:14:838 -> Serial, Testing, Round:0
11:29:14:841 -> Serial, Testing, Round:0
11:29:14:843 -> Serial, Testing, Round:0
11:29:14:846 -> Serial, Testing, Round:0
11:29:14:846 -> Serial, Testing, Round:0
11:29:14:849 -> Serial, Testing, Round:0
11:29:14:852 -> Serial, Testing, Round:0
11:29:14:854 -> Serial, Testing, Round:0
11:29:14:857 -> Serial, Testing, Round:0
11:29:14:857 -> Serial, Testing, Round:0
11:29:14:860 -> Serial, Testing, Round:0
11:29:14:863 -> Serial, Testing, Round:0
11:29:14:866 -> Serial, Testing, Round:0
11:29:14:868 -> Serial, Testing, Round:0
11:29:14:871 -> Serial, Testing, Round:0
11:29:14:871 -> Serial, Testing, Round:0
11:29:14:874 -> Serial, Testing, Round:0
11:29:14:877 -> Serial, Testing, Round:0
11:29:14:879 -> Serial, Testing, Round:0
11:29:14:882 -> Serial, Testing, Round:0
11:29:14:882 -> Serial, Testing, Round:0
11:29:14:885 -> Serial, Testing, Round:0
11:29:14:888 -> Serial, Testing, Round:0
11:29:14:890 -> Serial, Testing, Round:0
11:29:14:893 -> Serial, Testing, Round:0
11:29:14:893 -> Serial, Testing, Round:0
11:29:14:896 -> Serial, Testing, Round:0
11:29:14:899 -> Serial, Testing, Round:0
11:29:14:902 -> Serial, Testing, Round:0
11:29:14:904 -> Serial, Testing, Round:0
11:29:14:907 -> Serial, Testing, Round:0
11:29:14:907 -> Serial, Testing, Round:0
11:29:14:910 -> Serial, Testing, Round:0
11:29:14:913 -> Serial, Testing, Round:0
11:29:14:916 -> Serial, Testing, Round:0
11:29:14:918 -> Serial, Testing, Round:0
11:29:14:918 -> Serial, Testing, Round:0
11:29:14:921 -> Serial, Testing, Round:0
11:29:14:924 -> Serial, Testing, Round:0
11:29:14:927 -> Serial, Testing, Round:0
11:29:14:929 -> Serial, Testing, Round:0
11:29:14:929 -> Serial, Testing, Round:0
11:29:14:932 -> Serial, Testing, Round:0
11:29:14:935 -> Serial, Testing, Round:0
11:29:14:938 -> Serial, Testing, Round:0
11:29:14:940 -> Serial, Testing, Round:0
11:29:14:943 -> Serial, Testing, Round:0
11:29:14:943 -> Serial, Testing, Round:0
11:29:14:946 -> Serial, Testing, Round:0
11:29:14:949 -> Serial, Testing, Rsting, Round:0
11:29:14:960 -> Serial, Testing, Round:0
11:29:14:963 -> Serial, Testing, Roundound:0
11:29:14:952 -> Serial, Testing, Round:0al, Testing, Round:0
11:29:14:957 -> Serial, Te
11:29:14:954 -> Serial, Testing, Round:0
11:29:14:954 -> Seri:0
11:29:14:966 -> Serial, Testing, Round:0
11:29:14:966 -> Serial, Testing, Round:0
11:29:14:968 -> Serial, Testing, Round:0
11:29:14:971 -> Serial, Testing, Round:0
11:29:14:974 -> Serial, Testing, Round:0
11:29:14:977 -> Serial, Testing, Round:0
11:29:14:979 -> Serial, Testing, Round:0
11:29:14:979 -> Serial, Testing, Round:0
11:29:14:982 -> Serial, Testing, Round:0
11:29:14:985 -> Serial, Testing, Round:0
11:29:14:988 -> Serial, Testing, Round:0
11:29:14:990 -> Serial, Testing, Round:0
11:29:14:990 -> Serial, Testing, Round:0
11:29:14:993 -> Serial, Testing, Round:0
11:29:14:996 -> Serial, Testing, Round:0
11:29:14:999 -> Serial, Testing, Round:0
11:29:15:002 -> Serial, Testing, Round:0
11:29:15:002 -> Serial, Testing, Round:0
11:29:15:004 -> Serial, Testing, Round:0
11:29:15:007 -> Serial, Testing, Round:0
11:29:15:010 -> Serial, Testing, Round:0
11:29:15:013 -> Serial, Testing, Round:0
11:29:15:016 -> Serial, Testing, Round:0
11:29:15:016 -> Serial, Testing, Round:0
11:29:15:018 -> Serial, Testing, Round:0
11:29:15:021 -> Serial, Testing, Round:0
11:29:15:024 -> Serial, Testing, Round:0
11:29:15:027 -> Serial, Testing, Round:0
11:29:15:027 -> Serial, Testing, Round:0
11:29:15:029 -> Serial, Testing, Round:0
11:29:15:032 -> Serial, Testing, Round:0
11:29:15:035 -> Serial, Testing, Round:0
11:29:15:038 -> Serial, Testing, Round:0
11:29:15:038 -> Serial, Testing, Round:0
11:29:15:041 -> Serial, Testing, Round:0
11:29:15:043 -> Serial, Testing, Round:0
11:29:15:046 -> Serial, Testing, Round:0
11:29:15:049 -> Serial, Testing, Round:0
11:29:15:052 -> Serial, Testing, Round:0
11:29:15:052 -> Serial, Testing, Round:0
11:29:15:054 -> Serial, Testing, Round:0
11:29:15:057 -> Serial, Testing, Round:0
11:29:15:060 -> Serial, Testing, Round:0
11:29:15:063 -> Serial, Testing, Round:0
11:29:15:063 -> Serial, Testing, Round:0
11:29:15:066 -> Serial, Testing, Round:0
11:29:15:068 -> Serial, Testing, Round:0
11:29:15:071 -> Serial, Testing, Round:0
11:29:15:074 -> Serial, Testing, Round:0
11:29:15:074 -> Serial, Testing, Round:0
11:29:15:077 -> Serial, Testing, Round:0
11:29:15:080 -> Serial, Testing, Round:0
11:29:15:082 -> Serial, Testing, Round:0
11:29:15:085 -> Serial, Testing, Round:0
11:29:15:088 -> Serial, Testing, Round:0
11:29:15:088 -> Serial, Testing, Round:0
11:29:15:090 -> Serial, Testing, Round:0
11:29:15:093 -> Serial, Testing, Round:0
11:29:15:096 -> Serial, Testing, Round:0
11:29:15:099 -> Serial, Testing, Round:0
11:29:15:099 -> Serial, Testing, Round:0
11:29:15:102 -> Serial, Testing, Round:0
11:29:15:104 -> Serial, Testing, Round:0
11:29:15:107 -> Serial, Testing, Round:0
11:29:15:110 -> Serial, Testing, Round:0
11:29:15:110 -> Serial, Testing, Round:0
11:29:15:113 -> Serial, Testing, Round:0
11:29:15:116 -> Serial, Testing, Round:0
11:29:15:118 -> Serial, Testing, Round:0
11:29:15:121 -> Serial, Testing, Round:0
11:29:15:124 -> Serial, Testing, Round:0
11:29:15:124 -> Serial, Testing, Round:0
11:29:15:127 -> Serial, Testing, Round:0
11:29:15:129 -> Serial, Testing, Round:0
11:29:15:132 -> Serial, Testing, Round:0
11:29:15:135 -> Serial, Testing, Round:0
11:29:15:135 -> Serial, Testing, Round:0
11:29:15:138 -> Serial, Testing, Round:0
11:29:15:141 -> Serial, Testing, Round:0
11:29:15:143 -> Serial, Testing, Round:0
11:29:15:146 -> Serial, Testing, Round:0
11:29:15:146 -> Serial, Testing, Round:0
11:29:15:149 -> Serial, Testing, Round:0
11:29:15:153 -> Serial, Testinnd:0
11:29:15:158 -> Serial, Testing, Round:0
g, Round:0
11:29:15:155 -> Serial, Testing, Rou11:29:15:161 -> Serial, Testing, Round:0
11:29:15:161 -> Serial, Testing, Round:0
11:29:15:164 -> Serial, Testing, Round:0
11:29:15:169 -> Serial, Testing, Round:0
11:29:15:169 -> Serial, Testing, Round:0
11:29:15:171 -> Serial, Testing, Round:0
11:29:15:171 -> Serial, Testing, Round:0
11:29:15:175 -> Serial, Testing, Round:0
11:29:15:177 -> Serial, Testing, Round:0
11:29:15:180 -> Serial, Testing, Round:0
11:29:15:182 -> Serial, Testing, Round:0
11:29:15:182 -> Serial, Testing, Round:0
11:29:15:185 -> Serial, Testing, Round:0
11:29:15:188 -> Serial, Testing, Round:0
11:29:15:190 -> Serial, Testing, Round:0
11:29:15:193 -> Serial, Testing, Round:0
11:29:15:196 -> Serial, Testing, Round:0
11:29:15:196 -> Serial, Testing, Round:0
11:29:15:199 -> Serial, Testing, Round:0
11:29:15:202 -> Serial, Testing, Round:0
11:29:15:204 -> Serial, Testing, Round:0
